Sequencing project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Coordinates (if available),Source,Collection date,Comments
GW AN1711171,T-001_R1_001.fastq.gz,373748,373748,T-001,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-002_R1_001.fastq.gz,373749,373749,T-002,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-003_R1_001.fastq.gz,373750,373750,T-003,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-004_R1_001.fastq.gz,373751,373751,T-004,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-005_R1_001.fastq.gz,373752,373752,T-005,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-006_R1_001.fastq.gz,373753,373753,T-006,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-007_R1_001.fastq.gz,373755,373755,T-007,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-008_R1_001.fastq.gz,373757,373757,T-008,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-009_R1_001.fastq.gz,373759,373759,T-009,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-010_R1_001.fastq.gz,373760,373760,T-010,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-011_R1_001.fastq.gz,373761,373761,T-011,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-012_R1_001.fastq.gz,373762,373762,T-012,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-012_R1_001.fastq.gz_topoff,373762,373762,T-012,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-013_R1_001.fastq.gz,373764,373764,T-013,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-014_R1_001.fastq.gz,373765,373765,T-014,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-015_R1_001.fastq.gz,373769,373769,T-015,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-016_R1_001.fastq.gz,373770,373770,T-016,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-017_R1_001.fastq.gz,373771,373771,T-017,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-018_R1_001.fastq.gz,373773,373773,T-018,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-019_R1_001.fastq.gz,373775,373775,T-019,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-020_R1_001.fastq.gz,373779,373779,T-020,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-021_R1_001.fastq.gz,373783,373783,T-021,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-022_R1_001.fastq.gz,373784,373784,T-022,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-023_R1_001.fastq.gz,373787,373787,T-023,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-024_R1_001.fastq.gz,373788,373788,T-024,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,T-025_R1_001.fastq.gz,373792,373792,T-025,Alaska,Southcentral,YentnaIndianCreek,,,,,
GW AN1711171,U-001_R1_001.fastq.gz,404157,404157,U-001,Alaska,North,NorthSlope,,,,,
GW AN1711171,U-002_R1_001.fastq.gz,404158,404158,U-002,Alaska,North,NorthSlope,,,,,
GW AN1711171,U-003_R1_001.fastq.gz,404175,404175,U-003,Alaska,North,NorthSlope,,,,,
GW AN1711171,U-003_R1_001.fastq.gz_topoff,404175,404175,U-003,Alaska,North,NorthSlope,,,,,
GW AN1711171,U-004_R1_001.fastq.gz,404174,404174,U-004,Alaska,North,NorthSlope,,,,,
GW AN1711171,U-005_R1_001.fastq.gz,404162,404162,U-005,Alaska,North,NorthSlope,,,,,
GW AN1711171,V-001_R1_001.fastq.gz,TO4250,TO4250,V-001,Canada,Midwest,EagleLake,,"49.7, -93.21667",,,
GW AN1711171,V-002_R1_001.fastq.gz,TO4254,TO4254,V-002,Canada,Midwest,EagleLake,,"49.7, -93.21667",,,
GW AN1711171,V-003_R1_001.fastq.gz,TO4260,TO4260,V-003,Canada,Midwest,EagleLake,,"49.7, -93.21667",,,
GW AN1711171,V-004_R1_001.fastq.gz,TO4267,TO4267,V-004,Canada,Midwest,EagleLake,,"49.7, -93.21667",,,
GW AN1711171,V-005_R1_001.fastq.gz,TO4268,TO4268,V-005,Canada,Midwest,EagleLake,,"49.7, -93.21667",,,
GW AN1711171,V-006_R1_001.fastq.gz,TO4271,TO4271,V-006,Canada,Midwest,EagleLake,,"49.7, -93.21667",,,
GW AN1711171,V-007_R1_001.fastq.gz,TO4251,TO4251,V-007,Canada,Midwest,EagleLake,,"49.7, -93.21667",,,
GW AN1711171,V-008_R1_001.fastq.gz,TO4272,TO4272,V-008,Canada,Midwest,EagleLake,,"49.7, -93.21667",,,
GW AN1711171,V-009_R1_001.fastq.gz,TO4252,TO4252,V-009,Canada,Midwest,EagleLake,,"49.7, -93.21667",,,
GW AN1711171,V-010_R1_001.fastq.gz,TO4259,TO4259,V-010,Canada,Midwest,EagleLake,,"49.7, -93.21667",,,
GW AN1711171,V-011_R1_001.fastq.gz,TO4257,TO4257,V-011,Canada,Midwest,EagleLake,,"49.7, -93.21667",,,
GW AN1711171,W-001_R1_001.fastq.gz,156525,156525,W-001,Alaska,Northwest,Selawik,,,,,
GW AN1711171,W-001_R1_001.fastq.gz_topoff,156525,156525,W-001,Alaska,Northwest,Selawik,,,,,
GW AN1711171,W-002_R1_001.fastq.gz,157095,157095,W-002,Alaska,Northwest,Selawik,,,,,
GW AN1711171,W-003_R1_001.fastq.gz,157096,157096,W-003,Alaska,Northwest,Selawik,,,,,
GW AN1711171,W-004_R1_001.fastq.gz,157100,157100,W-004,Alaska,Northwest,Selawik,,,,,
GW AN1711171,W-005_R1_001.fastq.gz,156514,156514,W-005,Alaska,Northwest,Selawik,,,,,
GW AN1711171,W-005_R1_001.fastq.gz_topoff,156514,156514,W-005,Alaska,Northwest,Selawik,,,,,
GW AN1711171,W-006_R1_001.fastq.gz,156528,156528,W-006,Alaska,Northwest,Selawik,,,,,
GW BK1703222,A-001_S1_R1_001.fastq.gz,AL2016-191,373704,A-001_S1,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-002_S2_R1_001.fastq.gz,AL2016-192,373705,A-002_S2,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW BK1703222,A-003_S3_R1_001.fastq.gz,AL2016-193,373706,A-003_S3,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
